compound,zone,km_marker,developer,unit_type,area_sqm,total_price_egp,price_recency,pairing_confidence,source_url,notes
Solare,Ras El Hekma,199,Misr Italia,chalet,123,13445722,2026,exact,https://homeandmall.com/en-eg/north-coast/solare-north-coast/,3BR chalet
Solare,Ras El Hekma,199,Misr Italia,twin_house,173,15003807,2026,exact,https://homeandmall.com/en-eg/north-coast/solare-north-coast/,townhouse - grouped with twin house
Solare,Ras El Hekma,199,Misr Italia,twin_house,188,19651770,2026,exact,https://homeandmall.com/en-eg/north-coast/solare-north-coast/,4BR twin house
Solare,Ras El Hekma,199,Misr Italia,standalone_villa,206,24673686,2026,exact,https://homeandmall.com/en-eg/north-coast/solare-north-coast/,3BR standalone villa
Solare,Ras El Hekma,199,Misr Italia,standalone_villa,250,28556959,2026,exact,https://homeandmall.com/en-eg/north-coast/solare-north-coast/,4BR standalone villa
Gaia,Ras El Hekma,193,Al Ahly Sabbour,chalet,44,4100000,2026,exact,https://ipgegypt.com/en/projects/48-gaia-north-coast-ras-el-hekma,1BR micro chalet - high psqm outlier
Gaia,Ras El Hekma,193,Al Ahly Sabbour,chalet,122,3400000,2026,exact,https://ipgegypt.com/en/projects/48-gaia-north-coast-ras-el-hekma,2BR chalet
Gaia,Ras El Hekma,193,Al Ahly Sabbour,twin_house,242,8500000,2026,low,https://ipgegypt.com/en/projects/48-gaia-north-coast-ras-el-hekma,midpoint of 8-9M range
Gaia,Ras El Hekma,193,Al Ahly Sabbour,standalone_villa,284,13500000,2026,low,https://ipgegypt.com/en/projects/48-gaia-north-coast-ras-el-hekma,midpoint of 13-14M range
Seazen,Al Dabaa,170,Al Qamzi,chalet,135,6400000,2026,exact,https://www.propertyfinder.eg/blog,3BR 2BA chalet
Salt North Coast,Ras El Hekma,185,Tatweer Misr,twin_house,185,28000000,2026,low,https://selecthouse.co/en/property/salt-north-coast/,starting price range
Salt North Coast,Ras El Hekma,185,Tatweer Misr,twin_house,165,33576000,2026,low,https://tatweermisr.com/salt,possible inconsistency vs other source - flagged
D-Bay,Al Dabaa,167,Tatweer Misr,chalet,95,13836000,2026,low,https://www.nawy.com/compound/452-d-bay,starting-combo pairing likely inflates psqm
Palm Hills New Alamein,Al Alamein,108,Palm Hills,standalone_villa,220,11000000,2026,exact,https://badyapalmhills.com/apartment/new-alamein-north-coast/,standalone villa
Palm Hills New Alamein,Al Alamein,108,Palm Hills,twin_house,170,8000000,2026,exact,https://badyapalmhills.com/apartment/new-alamein-north-coast/,twin house
Palm Hills New Alamein,Al Alamein,108,Palm Hills,chalet,146,8815000,2026,exact,https://badyapalmhills.com/apartment/new-alamein-north-coast/,chalet low end
Palm Hills New Alamein,Al Alamein,108,Palm Hills,chalet,174,11043000,2026,exact,https://badyapalmhills.com/apartment/new-alamein-north-coast/,chalet high end
Mazarine,Al Alamein,107,City Edge,chalet,140,9770000,2026,low,https://imicegypt.com/en/projects/mazarine-new-alamein/,starting-combo pairing uncertain
SouthMed,Al Dabaa,167,TMG,chalet,112,14500000,2026,low,https://imicegypt.com/en/projects/south-med-egypt/,starting-combo pairing uncertain
Almaza Bay,Sidi Heneish,247,Travco,chalet,83,10700000,2026,exact,https://compoundgate.com/en/north-coast/almaza-bay,smallest chalet
Almaza Bay,Sidi Heneish,247,Travco,chalet,130,13410000,2026,exact,https://compoundgate.com/en/north-coast/almaza-bay,larger chalet
Downtown New Alamein,Al Alamein,108,City Edge,chalet,157,6600000,2026,exact,https://www.nawy.com/compound/314-downtown-new-alamein,precise single listing
Downtown New Alamein,Al Alamein,108,City Edge,chalet,164,8168000,2026,exact,https://ipgegypt.com/en/projects/145-downtown-new-alamein-city-edge,ground floor chalet low end
Downtown New Alamein,Al Alamein,108,City Edge,chalet,174,10005000,2026,exact,https://ipgegypt.com/en/projects/145-downtown-new-alamein-city-edge,ground floor chalet high end
Modon Ras El Hekma (Wadi Yemm),Ras El Hekma,200,Modon Developments,chalet,100,18000000,2026,estimate,https://egyproperty-eg.com/modon-ras-el-hekma-wadi-yemm-prices-units-2026/,midpoint of published 145-220k EGP/sqm range
Modon Ras El Hekma (Wadi Yemm),Ras El Hekma,200,Modon Developments,standalone_villa,300,105000000,2026,estimate,https://egyproperty-eg.com/modon-ras-el-hekma-wadi-yemm-prices-units-2026/,front-row beach villa at published 350k EGP/sqm
